Dataset,Model,Condition,recall@10,recall@20,recall@50,ndcg@10,ndcg@20,ndcg@50,precision@10,precision@20,precision@50
Beauty,DiffMM,Full,0.0054975985309330625,0.010817726302657512,0.02822457088127549,0.0028611856774203625,0.004432713268671492,0.008453444349608458,0.0010996563573883163,0.0010898379970544923,0.00111340206185567
Beauty,DiffMM,No-Text,0.004376264928547698,0.010322089495021825,0.023991602839990467,0.0023450046908682805,0.004163143797038438,0.00734869544225788,0.0009327442317133039,0.0011045655375552283,0.0009837997054491902
Beauty,DiffMM,No-Visual,0.005822116051210601,0.011302344194798175,0.02946886793337059,0.0032412978285575205,0.004853124394064608,0.009112480448362574,0.0011389297987236128,0.00110947471772214,0.0011683848797250861
Beauty,LATTICE,Full,0.05992562556627359,0.08746301290483913,0.14065939422758994,0.039951336773284586,0.04807521903773813,0.0605549969085338,0.011291114383897894,0.008291605301914582,0.005400098183603341
Beauty,LATTICE,No-Text,0.05217352870654939,0.07714475614724413,0.12834382621067714,0.034803279135966085,0.04224880743717585,0.05426507022284593,0.009582719685812473,0.007250859106529212,0.004883652430044186
Beauty,LATTICE,No-Visual,0.05916978429757264,0.08722864875079393,0.14575530882179924,0.037731708714456996,0.04611856941859164,0.059755118965154085,0.011035837015218465,0.008311242022582228,0.005576828669612177
Beauty,MICRO,Full,0.0662800102859013,0.09747286668494327,0.15968622064693272,0.043297843790325224,0.05258118537119316,0.0671189737211402,0.012557682866961226,0.009337260677466862,0.006152184585174282
Beauty,MICRO,No-Text,0.04817795901142153,0.0732248321100386,0.13044899779778055,0.03058158137825871,0.03803437596536806,0.05137684723018799,0.009032891507118316,0.00696612665684831,0.005036818851251843
Beauty,MICRO,No-Visual,0.05381145807454226,0.08455467801278584,0.1434978044616596,0.034288383639098266,0.043376301449056964,0.05710330438298811,0.010230731467844874,0.008016691212567501,0.0054806087383407
Clothing,DiffMM,Full,0.006135942721308575,0.011334844958538336,0.027485484715449874,0.0038520777360257314,0.005360844732071952,0.009095897633352256,0.0012242207364158585,0.0011017986627742727,0.0010791976645635182
Clothing,DiffMM,No-Text,0.004699647382574212,0.010910138610487043,0.029359845300611847,0.002365773471183953,0.004177135657916611,0.008455082711162661,0.0010076278368961293,0.0010923815801864585,0.0011620679913362842
Clothing,DiffMM,No-Visual,0.0040713187054650475,0.009468054415789608,0.024886951890436215,0.002367699566642816,0.0039610536920665395,0.007598066379293401,0.0008757886806667293,0.0009605424239570583,0.001000094170825878
Clothing,LATTICE,Full,0.0493321217188813,0.0750156143884367,0.1225552123635747,0.032268609043087794,0.039980777056845676,0.05114596281075541,0.009586590074394953,0.0073547415010829665,0.004798945286750166
Clothing,LATTICE,No-Text,0.0381206377722057,0.060812366474387376,0.11567057316186236,0.02343539727413748,0.030282319069506954,0.04303995879723796,0.007561917318014883,0.006083435351728037,0.004516432809115739
Clothing,LATTICE,No-Visual,0.05369806632872837,0.07994006338954077,0.13626905970111539,0.034396927327582955,0.04218245280461832,0.055278332428486114,0.01033053959883229,0.007707882098126004,0.005245315001412566
Clothing,MICRO,Full,0.04822203280391436,0.07698613891993684,0.1376092386545348,0.03065279859129525,0.03921148339774719,0.05338581786977694,0.00944533383557774,0.007538374611545344,0.0053809209906770916
Clothing,MICRO,No-Text,0.0343829844700925,0.0585606034212306,0.11254364181193449,0.021087523184905532,0.02831625505697212,0.040918552150275005,0.006930972784631322,0.00583388266315096,0.004420378566720033
Clothing,MICRO,No-Visual,0.04008929252831693,0.0654204973020304,0.11772774577652625,0.02400459647036586,0.03149039793266854,0.04381199508371227,0.00779734438271024,0.006300028251247766,0.004578585554195314
Electronics,DiffMM,Full,0.005143478052431676,0.009883036255551845,0.025208301349425664,0.0029139530314223863,0.004374070228755079,0.00805565731831339,0.0010619641465315665,0.0010570927513639907,0.0010989867498051441
Electronics,DiffMM,No-Text,0.007042761570723381,0.012419003389872445,0.03140418460469123,0.0038852435092814118,0.005551138375951101,0.01005153916962667,0.0014029618082618861,0.0013298908807482463,0.0013250194855806705
Electronics,DiffMM,No-Visual,0.004930219197317794,0.010063355200484974,0.024025376524402238,0.00261976804197604,0.0041526750169716495,0.007606615041393465,0.0009450506625097425,0.000979150428682775,0.0010502727981293843
Electronics,LATTICE,Full,0.039668999242508586,0.0657566577139843,0.12795483371525848,0.02385587651493354,0.031711681320767134,0.04645022723387255,0.008106001558846455,0.006712782540919723,0.0052182385035074086
Electronics,LATTICE,No-Text,0.03494285319231734,0.05788507643413138,0.10896592555059036,0.020390262348067935,0.027342277942981278,0.03962991385230603,0.00686866718628215,0.005831060015588467,0.004536243180046768
Electronics,LATTICE,No-Visual,0.037077394167709846,0.06153518082225213,0.12174744787882942,0.022120663288305226,0.02952235475167969,0.04399472178005739,0.007501948558067029,0.006269485580670306,0.00508768511301637
Electronics,MICRO,Full,0.04079699434215218,0.0681972365611785,0.13123410443047037,0.02482813772088752,0.033066606768708935,0.04807413740407842,0.008339828526890105,0.006966095089633675,0.005424785658612629
Electronics,MICRO,No-Text,0.03748243913140639,0.06225088442669307,0.11764408866659451,0.02245386833671201,0.029959357429167104,0.04308638908501677,0.007540919719407639,0.006352299298519098,0.004803195635229933
Electronics,MICRO,No-Visual,0.0462064590060498,0.07537078135772601,0.1364517675751113,0.028355862151353405,0.037112531960390334,0.051684068322013374,0.009304364770070154,0.007613990646921279,0.005582618862042095
