Dataset,Model,Condition,recall@10,recall@20,recall@50,ndcg@10,ndcg@20,ndcg@50,precision@10,precision@20,precision@50
Beauty,DiffMM,Full,0.04420188483783877,0.06964361886745463,0.11932878458917519,0.026332003026836234,0.03321792310597947,0.04376927983910091,0.00614254715406443,0.004815556668335839,0.0033049574361542332
Beauty,DiffMM,No-Text,0.04248575243818108,0.06755735455034403,0.11892870339289967,0.023804133994983233,0.030568319162900787,0.0414589740045917,0.006092472041395427,0.004723752295109334,0.0032782507093974313
Beauty,DiffMM,No-Visual,0.04227816592613789,0.06596309808628285,0.11594282958829778,0.02504885850155534,0.03155529342589567,0.04214061631740214,0.005892171590719416,0.004631947921882826,0.003228175596728428
Beauty,LATTICE,Full,0.04404589688765953,0.06573899820018998,0.11258001674876988,0.0257594152025543,0.0317370355950039,0.041658724578378235,0.006009013520280422,0.004590218661325323,0.003104656985478218
Beauty,LATTICE,No-Text,0.04143556604748393,0.06447793383196487,0.10851168898239504,0.023732704693646252,0.029835108507368292,0.03926144233683234,0.005875479886496413,0.004473376731764314,0.0030245368052078123
Beauty,LATTICE,No-Visual,0.038748069193737696,0.06332739850516514,0.10940973935465671,0.023985078633230617,0.030764382618981324,0.04061583525169962,0.005374728759806378,0.004456685027541314,0.003064596895343016
Beauty,MICRO,Full,0.04841554660032377,0.07367148606507645,0.12122997275726372,0.028215445021057467,0.03504852830220781,0.045281856594965315,0.0066432982807544646,0.005024202971123354,0.0033683859122016374
Beauty,MICRO,No-Text,0.04145881520693738,0.06392624651262607,0.11280637888049004,0.023559852794392953,0.029597429280527682,0.040014548930721816,0.0059088632949424146,0.004515105992321818,0.0031480554164580216
Beauty,MICRO,No-Visual,0.0432087284365702,0.06656121748760707,0.11814546198622311,0.025171022894600218,0.0316090377579666,0.04249155675684386,0.005975630111834419,0.004723752295109332,0.0033016190953096317
Clothing,DiffMM,Full,0.03045387688244831,0.0469818148389577,0.08002285680857109,0.016435362068787554,0.020823822210739012,0.02785410276224287,0.0041067041067041074,0.003080028080028081,0.002130572130572132
Clothing,DiffMM,No-Text,0.02541702184559327,0.04098973741830885,0.07348651991509134,0.013561840376356899,0.017742613572637164,0.024611036186901608,0.003492453492453492,0.002772902772902773,0.001997191997191998
Clothing,DiffMM,No-Visual,0.025865800865800863,0.041764863193434615,0.0746717728860586,0.014595524201514894,0.01881533638467251,0.025739545173629436,0.003474903474903475,0.0027729027729027737,0.0019971919971919975
Clothing,LATTICE,Full,0.029506175934747362,0.04684266827123971,0.08420832706546992,0.016156877375339346,0.020759418720276444,0.028537858748285412,0.003878553878553879,0.003053703053703054,0.0021797121797121808
Clothing,LATTICE,No-Text,0.023280098280098277,0.04110088752945895,0.07377317020174162,0.01259531614329552,0.017354184358880986,0.02439701545634718,0.0031414531414531424,0.0027378027378027374,0.0019796419796419802
Clothing,LATTICE,No-Visual,0.027416052416052418,0.04098806598806599,0.07900808972237543,0.015262221116341007,0.018853695439813432,0.026943388477547354,0.003615303615303616,0.002658827658827659,0.0021130221130221134
Clothing,MICRO,Full,0.034952531381102804,0.05040239683096827,0.08588017516588944,0.018930515757652703,0.023038741581351215,0.030471474219676862,0.004685854685854686,0.00330817830817831,0.002253422253422254
Clothing,MICRO,No-Text,0.024837871266442692,0.04072648715505859,0.07671029099600528,0.01361189472856936,0.017934541964227495,0.025480704540799624,0.0034398034398034406,0.0027904527904527906,0.002067392067392068
Clothing,MICRO,No-Visual,0.026222651222651227,0.03964005749720036,0.07375039696468268,0.014575187382684833,0.01818138075463539,0.025301607790679234,0.0035451035451035443,0.002667602667602668,0.001948051948051949
Electronics,DiffMM,Full,0.054004124420003435,0.08090164403964026,0.13057103576952347,0.030771970676715544,0.03812192462192971,0.04873806888567533,0.007492696339577249,0.005585152087987629,0.0035916824196597376
Electronics,DiffMM,No-Text,0.05237154150197629,0.07594374749384203,0.1275004296270837,0.029731911438270052,0.03613900566011079,0.04711847939621854,0.007252105172710088,0.0052844131294036804,0.0035298161196081826
Electronics,DiffMM,No-Visual,0.05488220034533834,0.08242988895162807,0.13292968845898903,0.03127921783153746,0.03866886133671882,0.04940214185770676,0.007664547173053791,0.005662484963052074,0.0036157415363464534
Electronics,LATTICE,Full,0.04451223005098242,0.06742853869507935,0.10985462237825186,0.02573983339076036,0.031908829698879745,0.04085572081040835,0.006169444921807872,0.004648565045540473,0.003014263619178555
Electronics,LATTICE,No-Text,0.04537148421836512,0.06512737420109822,0.10729813664596274,0.026193756916754216,0.03157054308662521,0.040414912222706705,0.006238185255198489,0.004485306753737757,0.002928338202440283
Electronics,LATTICE,No-Visual,0.04714154780317351,0.06856561837658247,0.11071223987103006,0.02684850073141405,0.032661985461603905,0.041643784247023745,0.006495961505413302,0.004725897920604916,0.0030280116858566767
Electronics,MICRO,Full,0.04783754367875351,0.07395314200607206,0.12206441951243463,0.028085003318937495,0.035242169934914684,0.04536797956714896,0.0067021825055851554,0.005198487712665408,0.003347654236123047
Electronics,MICRO,No-Text,0.05003150598613736,0.07521624563212465,0.12475797674285385,0.02850783999447535,0.03539584953105053,0.045852619081452606,0.0069599587557999665,0.005258635504382197,0.003437016669530849
Electronics,MICRO,No-Visual,0.053570405649800736,0.08147038846471738,0.13180549758999663,0.03005085338142709,0.03759030368385846,0.04810272003024468,0.007441141089534283,0.005619522254682938,0.0035470012029558354
