Dataset,Model,User Type,recall@10,recall@20,recall@50,ndcg@10,ndcg@20,ndcg@50,precision@10,precision@20,precision@50
Beauty,DiffMM,Active (≥20),0.05569648420115709,0.06422266726005042,0.10720219551995254,0.041946510032295485,0.04579897784083177,0.057876077782316904,0.014953271028037384,0.009813084112149536,0.006915887850467292
Beauty,DiffMM,Sparse (≤5),0.03767591475673502,0.06477683956574186,0.11720948934459187,0.01917673233397744,0.026350152551847156,0.03737367271818843,0.0047285886610373955,0.004041013268998795,0.0029529553679131498
Beauty,LATTICE,Active (≥20),0.046150422785936805,0.09063195371606586,0.13356697819314642,0.04431559671463084,0.05789389450919806,0.06886316547931721,0.018691588785046735,0.014018691588785055,0.008037383177570098
Beauty,LATTICE,Sparse (≤5),0.048492159227985526,0.06765178930438279,0.10420184961801367,0.02988600455912132,0.03498922477746624,0.042613686228794696,0.005983112183353437,0.004197828709288301,0.0026055488540410146
Beauty,MICRO,Active (≥20),0.05315976858032932,0.0749221183800623,0.12462171784601692,0.04459169191467888,0.05300507058394548,0.0668687774050561,0.017757009345794397,0.013551401869158881,0.008785046728971966
Beauty,MICRO,Sparse (≤5),0.0461600321672698,0.06968234821069563,0.11295536791314835,0.026646533495850864,0.032807125090654865,0.041867048497796544,0.005741857659831123,0.0043184559710494575,0.0028371531966224373
Clothing,DiffMM,Active (≥20),0.026470588235294117,0.03235294117647059,0.05819327731092437,0.01784998062822581,0.020121059695365623,0.029166929763432176,0.008823529411764707,0.0058823529411764705,0.005294117647058823
Clothing,DiffMM,Sparse (≤5),0.022258797711419392,0.041108237322674185,0.07856023199310291,0.011962777112871878,0.0169204510999439,0.02465352350739504,0.0027509992946155655,0.00258640959322831,0.001970373853750294
Clothing,LATTICE,Active (≥20),0.05350140056022409,0.06698179271708683,0.08956582633053221,0.033582337783720086,0.03996369318635094,0.046573957361577205,0.01764705882352941,0.013235294117647057,0.007058823529411763
Clothing,LATTICE,Sparse (≤5),0.03521043968963085,0.049122188259267965,0.07208637040520417,0.01982759032158278,0.023517704624547324,0.02825768414821393,0.004467434751939808,0.003091935104632025,0.0017963790265694806
Clothing,MICRO,Active (≥20),0.026785714285714284,0.06698179271708683,0.12090336134453782,0.02053544897871368,0.034300874416732505,0.04713006032886097,0.011764705882352941,0.011764705882352941,0.007058823529411763
Clothing,MICRO,Sparse (≤5),0.0339368289050866,0.04925934634375735,0.0784740183399953,0.01844677682876458,0.022494733166171375,0.02858811418772377,0.004279332236068658,0.0030801786973900782,0.001960968727956737
Electronics,DiffMM,Active (≥20),0.05018315018315018,0.09413919413919412,0.14688644688644692,0.03746459593004257,0.05237305761498062,0.0676672499540259,0.017582417582417586,0.01538461538461539,0.010109890109890114
Electronics,DiffMM,Sparse (≤5),0.05433186490455213,0.0863565690593418,0.14217845728599812,0.03013134241763954,0.03854529988395671,0.05033598809223388,0.006815237108059083,0.005325213785954914,0.003565690593417985
Electronics,LATTICE,Active (≥20),0.06684981684981685,0.10714285714285714,0.15000000000000005,0.042065221631804255,0.05799500221199589,0.07031628956310794,0.019780219780219786,0.018131868131868137,0.010329670329670334
Electronics,LATTICE,Sparse (≤5),0.05878034032996459,0.08724194523624428,0.13969508508249112,0.03271532210689298,0.040206979128690555,0.05113427362281868,0.007437159885980827,0.005428867582275203,0.0035086810054418263
Electronics,MICRO,Active (≥20),0.07161172161172161,0.10805860805860805,0.14853479853479856,0.0452823536046795,0.059121663812220594,0.07116791199172227,0.024175824175824184,0.019230769230769242,0.010549450549450555
Electronics,MICRO,Sparse (≤5),0.06290489764187614,0.0873931070225447,0.13712533471538396,0.0356766874612605,0.042145614544560936,0.05250540515664978,0.00798134231666235,0.005467737755895312,0.0034516714174656665
